"","F.halfmax","Northsea","Coas","W_Baltic","Faroe","NE_Arctic","Celtic","Iceland","Kat","W_Scotland","NGulf","GB","GM","3NO","3M","2J3KL","3Ps"
"245",2.44,0.235511342205695,0.203425933619698,0.101438200033337,0.154771339602337,0.200307435520973,0.295039538041302,0.210615453936069,0.110157072200498,0.176344517644428,0.0870781353003715,0.113196782619593,0.10407012686052,0.126114665804754,0.150858156084873,0.0912470772490378,0.139293090259634
"246",2.45,0.234860625526833,0.202782535898674,0.100986201903029,0.154251132390712,0.199688150939887,0.294298141862791,0.20999866152905,0.109739215568061,0.175791428470304,0.0867590463373564,0.112760747867866,0.103645700812679,0.125702481260478,0.150235508947983,0.0909585837171002,0.138863325067268
"247",2.46,0.234213835705313,0.202143241223075,0.100537698714645,0.153734492709141,0.199072888538306,0.293560905010183,0.209385664446763,0.109324473637659,0.17524212813588,0.08644232020608,0.112327989438376,0.103224477589977,0.125293211295824,0.149617486115049,0.0906721356626867,0.138436460303835
"248",2.47,0.233570934842129,0.201508009168719,0.100092651890869,0.15322138311157,0.198461607649942,0.292827790198285,0.208776426099728,0.10891281072969,0.174696577093814,0.0861279300607977,0.111898471113466,0.102806421517156,0.124886823716787,0.149004037407817,0.0903877103580952,0.138012465251061
"249",2.48,0.232931885535473,0.200876799851904,0.0996510234100889,0.152711766676882,0.197854268167009,0.292098760610594,0.208170910380954,0.108504191710196,0.174154736365129,0.0858158494676721,0.111472157207657,0.102391497444724,0.124483286814345,0.14839511335674,0.0901052854191177,0.137591309635176
"250",2.49,0.232296650872523,0.200249573920292,0.0992127757965125,0.152205606999683,0.197250830530585,0.291373779891931,0.207569081657875,0.108098581980617,0.17361656752908,0.0855060523968581,0.111049012557943,0.101979670739384,0.124082569355277,0.147790665188889,0.0898248387984825,0.137172963618793
"251",2.5,0.231665194421398,0.199626292544,0.0987778721105003,0.151702868181274,0.196651255721182,0.290652812141205,0.206970904764444,0.10769594746777,0.173082032713219,0.0851985132147702,0.1106290025143,0.10157090727468,0.123684640573195,0.147190644816113,0.0895463487794471,0.136757397792959
"252",2.51,0.23103748022328,0.199006917406851,0.0983462759390961,0.15120351482082,0.196055505249502,0.289935821904313,0.206376344993391,0.107296254614042,0.172551094583683,0.084893206676527,0.110212092930392,0.101165173421837,0.123289470159771,0.146595004823423,0.0892697939695368,0.136344583169391
"253",2.52,0.230413472784676,0.198391410697815,0.097917951386758,0.1507075120067,0.19546354114739,0.289222774167172,0.205785368088628,0.106899470367816,0.17202371633567,0.0845901079185677,0.10979825015448,0.100762436040798,0.122897028256168,0.146003698457599,0.0889951532944264,0.13593449117287
"254",2.53,0.229793137069848,0.197779735102609,0.0974928630662834,0.150214825308037,0.194875325958961,0.288513634348879,0.205197940237815,0.106505562174089,0.171499861684123,0.0842891924514367,0.109387441020522,0.100362662471455,0.122507285444657,0.145416679616027,0.0887224059919592,0.135527093633806
"255",2.54,0.229176438493379,0.197171853795474,0.0970709760899233,0.149725420766399,0.194290822731916,0.287808368294998,0.204614028065072,0.106114497965307,0.170979494854595,0.0839904361527321,0.108979632839471,0.0999658205250642,0.122120212740424,0.144833902835743,0.0884515316063022,0.135122362780965
"256",2.55,0.228563342912895,0.196567730431114,0.0966522560606809,0.14923926488768,0.193709995009029,0.28710694227097,0.20403359862383,0.105726246152396,0.170462580574314,0.0836938152602119,0.108574793390743,0.0995718784758441,0.121735781583558,0.144255323282694,0.0881825099822318,0.134720271234345
"257",2.56,0.22795381662192,0.195967329136787,0.0962366690637906,0.148756324634141,0.193132806819808,0.286409322955641,0.203456619389832,0.10534077561599,0.169949084063422,0.0833993063650564,0.10817289091388,0.0991808050527527,0.121353963831216,0.143680896741204,0.0879153212595479,0.134320791998215
"258",2.57,0.227347826342876,0.195370614504562,0.0958241816583728,0.148276567416618,0.19255922267232,0.285715477434912,0.202883058254262,0.104958055697846,0.169438971026401,0.0831068864052812,0.107773894100378,0.0987925694314356,0.12097473174996,0.143110579603645,0.0876499458676125,0.133923898454293
"259",2.58,0.226745339220216,0.194777551583726,0.0954147608692606,0.147799961086886,0.191989207545187,0.285025373195504,0.202312883517024,0.104578056192444,0.168932207643663,0.0828165326592966,0.107377772085694,0.0984071412263447,0.120598058008267,0.142544328860301,0.0873863645200096,0.133529564355081
